product_name,review_text,rating,tags,flan-t5-xl-JDG-T-101-qlora,mistral-7b-instruct-v0.2-JDG-210,gpt-3.5-turbo-0125:personal:review-tags-jdg001,llama-2-7b-chat-JDG-211-checkpoint-650,Flan-t5-xl Disagrees,Mistral Disagrees,GPT3.5 Disagrees,Llama Disagrees,3 Judges Agree,Unanimous,At least 3 judges,Validate 3 Judges,Validate Unanimous,No agreement – Human labelled,Set 1 – 3 Judges + Human Labels,Set 2 – Unanimous + Human Labels,Set 3 – Combined Human Labelled,validation,design,value,performance,quality,none,non-review
UV-C Sanitizer and Deodorizer,"Zero affect on odor. This device works by pushing a small volume of air over a UVC light. It has no odor elimination because there is nothing in the device that could do so. It should not be marketed for odor, it’s just not possible with what this unit is capable of. Not recommended.",2,,"[""performance""]","[""performance""]","[""performance""]","[""design""]",,,,"[""performance""]","[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Back Cushion,"Your butt will thank you.. My big butt is happy I bought this, your will be too. I noticed a difference the first time I used it. I work from home at the computer. Intensively at the computer. I already have an ergonomic expensive office chair that is rated for 8+ hours a day. This really made a fantastic addition. It is expensive but it is well worth it. I plan to buy another for my car.",5,,"[""performance""]","[""performance"",""value""]","[""performance"",""value""]","[""design"",""performance"",""value""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Fire TV Stick,Your being ripped off. Great concept but once you stop all the subscriptions your stick doesn't work anymore.,1,,"[""value""]","[""value""]","[""performance""]","[""value""]",,,"[""value""]",,"[""value""]",,"[""value""]","[""value""]",,,"[""value""]","[""value""]","[""value""]",0,0,1,0,0,0,0
Cotton Rounds,You’ll not save your money. Good price for 4 packs. But I would like to see better quality for this price. Sometimes it feels like a little rough. The rounds are too thin and you’ll need to use more. I think it’s not worth it because you can buy more expensive one and you’ll use it same time like this one.,2,,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]",,,,,,"[""quality"",""value""]","[""quality"",""value""]",,"[""quality"",""value""]",,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]",0,0,1,0,1,0,0
Echo Dot,You’ll never regret having it in your life!!. This  Echo Dot was a gift from my son to help me navigate new technology.  BEST GIFT EVER!  How did I ever live without it!!,5,,"[""none""]","[""none""]","[""performance""]","[""none""]",,,"[""none""]",,"[""none""]",,"[""none""]","[""none""]",,,"[""none""]","[""none""]","[""none""]",0,0,0,0,0,1,0
Soap Sheets,"You won't know you need it until you do and don't have it.. Fresh, not overly perfumed scent.  This worked very well on our recent trip.  Will definitely restock for the next one and keep as a staple when traveling.  Only wish I could find refills for the nice container, rather than buying the whole thing again.",5,,"[""performance"",""design"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Earbuds,You won't go wrong with these. I love these earbuds. Incredible sound.,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Coffee Filter,You have to use more than one filter. The .... You have to use more than one filter. The first time I used these filters I only used one and that turned out to be a disaster. The next cup I used 3 to be on the safe side and it was ok. So every time I want a cup of coffee i have to use 3 filters!,1,,"[""performance""]","[""performance""]","[""performance""]","[""quality""]",,,,"[""performance""]","[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Cotton Rounds,"You get your money's worth. These rub my eyes in the bad way. They're really rough, and really not that thick. I think you get what you pay for in terms of these. Obviously they still do their job, but I really wish they were softer because I feel like I'm probably getting scratches on my skin even with it soaking wet.",3,,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]","[""quality""]",,,,"[""quality"",""value""]","[""quality"",""value""]",,"[""quality"",""value""]","[""quality"",""value""]",,,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]",0,0,1,0,1,0,0
Hair Clips,You get what you pay for.. The quality isn't that great but its expected because of the price.,2,,"[""quality"",""value""]","[""quality"",""value""]","[""value""]","[""quality"",""value""]",,,"[""quality"",""value""]",,"[""quality"",""value""]",,"[""quality"",""value""]","[""quality"",""value""]",,,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]",0,0,1,0,1,0,0
Amazon Fire Tablet,"You get what you pay for. This tab sucks compared to my last one. It runs slow and clunky. It doesn't have apps and features I want. Pretty much all I do is look at websites, social media, and read. It can't even handle that smoothly. You get what you pay for. I will spend the money for something better next time.",2,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",,,,,,"[""performance"",""value""]","[""performance"",""value""]",,"[""performance"",""value""]",,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",0,0,1,1,0,0,0
False Eyelashes,You get what you paid for.. The &#34;hairs&#34; are easily detached and they are mounted on a flimsy piece of string. Very difficult to put on.,2,"quality, design","[""design"",""quality""]","[""design"",""quality""]","[""quality""]","[""design"",""quality""]",,,"[""design"",""quality""]",,"[""design"",""quality""]",,"[""design"",""quality""]","[""design"",""quality""]",,,"[""design"",""quality""]","[""design"",""quality""]","[""design"",""quality""]",0,1,0,0,1,0,0
Echo Dot,You can't see the light! You don't know if she heard you. I bought a couple of these for Prime Day - as replacements for older ones - but the fact that the light ring is now on the bottom has everyone in my house is constantly yelling because we never know if she heard us or not.<br />Huge annoyance.,3,,"[""design""]","[""design""]","[""design""]","[""design""]",,,,,,"[""design""]","[""design""]",,"[""design""]",,"[""design""]","[""design""]","[""design""]",0,1,0,0,0,0,0
Amazon Fire Tablet,You can do anything with this tablet that do with a laptop. Is very easy to use.,5,,"[""design"",""performance""]","[""design"",""performance""]","[""performance""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Yoga Mat Cleaner,Yogies welcome. Nice for the price!,4,value,"[""value""]","[""value""]","[""value""]","[""value""]",,,,,,"[""value""]","[""value""]",,"[""value""]",,"[""value""]","[""value""]","[""value""]",0,0,1,0,0,0,0
Glycerin,Yes. Yes,3,non-review,"[""non-review""]","[""non-review""]","[""none""]","[""non-review""]",,,"[""non-review""]",,"[""non-review""]",,"[""non-review""]","[""non-review""]",,,"[""non-review""]","[""non-review""]","[""non-review""]",0,0,0,0,0,0,1
Coffee Maker,Yes and No. Make no mistake the AeroPress makes a deliciously smooth cup of coffee. BUT it was way too much effort and muscle for me. I have had and used a Keurig for many years so call me lazy but it also makes a deliciously smooth cup of coffee. I’ll stick with it and I returned the AeroPress.,3,,"[""design"",""performance""]","[""performance"",""value""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Back Cushion,Yea. Ordered this for my Mom who lives all day in a nursing home. So far this seems to be working great for her when so many cushions before haven't.,5,,"[""performance""]","[""performance""]","[""performance""]","[""quality""]",,,,"[""performance""]","[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
