ID,Prompt_Text,Rating,Rating,Label - gpt3.5_turbo0125,Rating,Label - gpt3.5_turbo0125 - improved,Label - Flan-t5-small-FT215,GPT3.5 vs Flan-t5-small,,Label - gpt-4-0125-preview,Label - gpt-4-0125-preview - improved,GPT3.5 vs GPT4,GPT4 vs Flan-t5-small,gpt3.5 vs GPT4 vs Flan-t5-small,GPT4+1 LABEL,Unanimous Label,Hunam Label,GPT4 WIN,GPT3.5 WIN,flan-t5-small WIN,Test Set 1 Labels,Test Set 2 Labels,GPT3.5 improved = GPT4 improved,Unanimous Label - IMPROVED,GPT4 improved vs hunam,GPT 3.5  improved vs hunam,gpt3.5 improved vs flan,gpt4 improved vs flan,Staging-test set 3,Test Set 3 Labels,Staging-test set 4,Test Set 4 Labels
1,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
'Tis the season for dry hands! I go through a lot of hand creams in the winter months. This lotion is not too thick, but it's not runny either. It absorbs nicely and doesn't leave behind any greasiness. It has a light, fruity scent that's not overpowering. In fact, I found it to be barely noticeable. It is very moisturizing and leaves my hands soft. I would order this again.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
2,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
2 way radio drained batteries daily so too expensive
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",2,2,Negative,2,Slightly Negative,Slightly Negative,NO MATCH,2,Negative,Negative,OK,NO MATCH,NO MATCH,Negative,,,,,,Negative,REMOVE,,,,,OK,NO MATCH,,REMOVE,,REMOVE
3,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
3 yr old loves it, I hate it. Hours spent download
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",3,3,Slightly Negative,3,Slightly Negative,Negative,NO MATCH,3,Negative,Slightly Negative,NO MATCH,OK,NO MATCH,Negative,,,,,,Negative,REMOVE,Slightly Negative,,,,NO MATCH,NO MATCH,Slightly Negative,Slightly Negative,,REMOVE
4,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
3/4 of the package have been duds. Lasted about 15 minutes. Now I get to go to the trouble to return them. When you shop with Amazon, it's to save time. This defeats that purpose.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
5,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
7 year old boy broke it in less than 2 months even with the bumper guard on. Won't power up. When it WAS working, very limited on storage. Ran out of space in 1 hour, so the wifi wouldn't work. Had go in and explain to him he couldn't download more than a hand full of apps at a time. Doesn't matter now since it won't even turn on or charge.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
6,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
a few in the lot didn't work at all.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Slightly Negative,Slightly Negative,NO MATCH,1,Negative,Negative,OK,NO MATCH,NO MATCH,Negative,,,,,,Negative,REMOVE,,,,,OK,NO MATCH,,REMOVE,,REMOVE
7,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
a friend told me he had this and it was great .. ive been looking at it and looking at it .. and he convinced me i needed it ... alexa is pretty funny at times ... i saw that angel stand for it .. i wish they had more choices ... nothing caught my eye maybe someday one will
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Slightly Positive,Slightly Positive,NO MATCH,5,Slightly Positive,Slightly Positive,NO MATCH,OK,NO MATCH,Slightly Positive,,,,,,Slightly Positive,REMOVE,Slightly Positive,Slightly Positive,,,OK,OK,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive
8,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A good product that provides the services I desire.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",4,4,Positive,4,Slightly Positive,Slightly Positive,NO MATCH,4,Positive,Slightly Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Slightly Positive,Slightly Positive,,,OK,OK,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive
9,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A good starter tablet, but very very slow. Don't expect and I Pad savy child to enjoy this. But for a true beginner it would be fine.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",3,3,Slightly Negative,3,Slightly Negative,Slightly Negative,OK,3,Slightly Negative,Slightly Negative,OK,OK,OK,Slightly Negative,Slightly Negative,,,,,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative,,,OK,OK,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative
10,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A Great Price but not a great battery. They just don't last as long as the brand names.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",2,2,Slightly Negative,2,Slightly Negative,Slightly Negative,OK,2,Slightly Negative,Slightly Negative,OK,OK,OK,Slightly Negative,Slightly Negative,,,,,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative,,,OK,OK,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative
11,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A little crackly at times but not that noticeable. Just turn the volume up. Easy connect. Use everyday
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Slightly Positive,5,Slightly Positive,Slightly Positive,OK,5,Slightly Positive,Slightly Positive,OK,OK,OK,Slightly Positive,Slightly Positive,,,,,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive,,,OK,OK,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive
12,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A little difficult for kids to use but ok for the price
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Slightly Negative,5,Slightly Positive,Slightly Positive,NO MATCH,5,Slightly Negative,Slightly Negative,OK,NO MATCH,NO MATCH,Slightly Negative,,,,,,Slightly Negative,REMOVE,,,,,OK,NO MATCH,,REMOVE,,REMOVE
13,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A lot of batteries for the good price. But they don't last too long.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",3,3,Slightly Negative,3,Slightly Positive,Slightly Positive,NO MATCH,3,Slightly Negative,Slightly Negative,OK,NO MATCH,NO MATCH,Slightly Negative,,,,,,Slightly Negative,REMOVE,,,,,OK,NO MATCH,,REMOVE,,REMOVE
14,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
15,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
AA! Would buy again!
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",4,4,Positive,4,Positive,Slightly Positive,NO MATCH,4,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
16,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
About half of the batteries won't recharge, so I threw them away
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",2,2,Negative,2,Negative,Slightly Negative,NO MATCH,2,Negative,Negative,OK,NO MATCH,NO MATCH,Negative,,,,,,Negative,REMOVE,Negative,,,,NO MATCH,NO MATCH,Negative,Negative,,REMOVE
17,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
absolute garbage, noteven a 1/4 of the battery of a regular energizer, dies so quick, tested, compared for months, sorry Not worth the money atany price, except maybe free.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
18,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Absolutely great for the money stereo receiver. I hooked this up to two Bose outdoor speakers and my neighbors must be pitching fits, lol. Sound quality is great, easy to set up. No complaints.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
19,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Adorable and hold up just fine
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
20,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
After I received the butterfly bag I was not sure if my great niece's Kindle with the big rubber protector would fit. But it fits perfectly in this bag.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Slightly Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,,,,,OK,NO MATCH,,REMOVE,,REMOVE
21,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
All 20 of the batteries are dead (no power). Very disappointed to receive a product with Amazon's name on it that is useless, especially as a Prime member.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
22,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
All but about 4 were duds. What a waste of money.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
23,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
All were dead
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Slightly Negative,NO MATCH,1,Negative,Negative,OK,NO MATCH,NO MATCH,Negative,,,,,,Negative,REMOVE,Negative,,,,NO MATCH,NO MATCH,Negative,Negative,,REMOVE
24,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Although I don’t remember signing up for this, I’m happy I did. I love every product included.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
